,KIC,Kpmag,numax,e_numax,Delnu,e_Delnu,Teff_x,e_Teff_x,log(g),e_log(g),[Fe/H],e_[Fe/H],Dist,E_Dist,e_Dist,luminosity_berger
15068,12121169,13.31,25.95,0.3,3.3810000000000002,0.027000000000000003,5100,165,2.335,0.01,-0.07,0.3,4258.0,287.454,254.166,110.76335265947417
15069,12121207,11.52,28.13,0.43,3.537,0.09,4948,100,2.364,0.009000000000000001,-0.37,0.15,1687.32,65.59100000000001,61.025,72.62686073552986
15070,12121377,11.75,43.07,0.66,4.546,0.022000000000000002,4972,100,2.55,0.009000000000000001,-0.1,0.15,1790.81,71.992,66.816,70.73148717375851
15071,12121656,11.55,38.19,0.6,4.405,0.057,4975,100,2.498,0.009000000000000001,-0.23,0.15,1555.7679999999998,52.763999999999996,49.547,61.99640474058153
15072,12122085,11.69,145.92,0.77,12.134,0.017,4882,80,3.076,0.006,0.0,0.15,836.268,14.43,13.985999999999999,14.121580876961225
15073,12122151,9.71,51.33,0.84,5.098,0.013999999999999999,4903,100,2.623,0.009000000000000001,-0.07,0.15,595.193,8.316,8.112,50.462422939011276
15074,12151240,9.67,56.39,0.49,5.476,0.019,4830,137,2.66,0.008,-0.05,0.3,523.677,6.6770000000000005,6.529,39.57893206524186
15075,12152850,11.32,31.65,0.51,4.027,0.06,5006,144,2.417,0.01,-0.06,0.3,1721.6689999999999,104.736,93.62299999999999,102.74415047737403
15076,12153274,12.42,92.11,0.8,8.549,0.017,5242,156,2.891,0.009000000000000001,-0.11,0.3,1747.771,61.34,57.47,36.3543734802042
15077,12153346,11.96,30.18,0.68,4.086,0.067,5200,152,2.405,0.012,-0.23,0.3,1685.731,61.523,57.49100000000001,49.54998517266889
15078,12153362,12.87,16.83,0.36,2.728,0.061,4725,80,2.131,0.011000000000000001,-0.22,0.15,3454.2690000000002,245.704,215.83599999999998,84.38502253828753
15079,12153488,12.93,30.78,0.86,3.943,0.039,4857,80,2.399,0.013000000000000001,-0.25,0.15,3252.47,226.65099999999998,199.59099999999998,71.57785468667434
15080,12153827,10.91,46.58,0.69,4.876,0.047,5178,162,2.593,0.01,0.12,0.3,1217.606,31.921999999999997,30.414,71.40112378127162
15081,12154360,12.82,49.11,0.71,5.3629999999999995,0.013999999999999999,4886,142,2.603,0.01,-0.43,0.3,2005.265,100.33200000000001,91.45299999999999,34.50660732817634
15082,12154686,12.87,65.5,0.74,6.678,0.017,5099,153,2.737,0.009000000000000001,-0.44,0.3,1812.3310000000001,70.601,65.671,26.97686558060449
15083,12154726,10.39,96.44,1.0,7.691,0.068,5303,160,2.9139999999999997,0.009000000000000001,-0.15,0.3,855.043,15.315999999999999,14.827,51.22731004759196
15084,12155236,9.33,23.52,1.74,2.8480000000000003,0.152,4563,129,2.2680000000000002,0.033,-0.21,0.3,550.65,5.851,5.744,66.92625554329568
15085,12155459,10.64,210.41,0.79,16.423,0.039,5148,149,3.2460000000000004,0.008,-0.11,0.3,423.82599999999996,4.127,4.059,10.215895743696164
15086,12155851,12.14,33.77,1.99,4.019,0.024,4661,80,2.43,0.026000000000000002,0.24,0.15,1685.2089999999998,64.818,60.348,44.894267206533776
15087,12156156,13.72,28.64,1.29,4.047,0.084,5303,162,2.387,0.021,-0.25,0.3,4301.165,289.346,255.945,75.63461392794325
15088,12156445,12.07,67.13,0.63,6.6770000000000005,0.01,4627,80,2.727,0.006999999999999999,-0.02,0.15,1219.438,36.07,34.147,22.76062014304752
15089,12156664,13.93,29.22,0.61,4.475,0.17600000000000002,5220,163,2.392,0.012,-0.04,0.3,4288.52,328.54900000000004,286.057,57.71720564991356
