     TIC_ID            APOGEE_ID        GAIA_SOURCE_ID   APOGEE_TEFF   APOGEE_TEFF_ERR   APOGEE_LOGG   APOGEE_LOGG_ERR           GAIA_PARALLAX    GAIA_PARALLAX_ERROR        J   J_ERR        H   H_ERR        K   K_ERR              M_H          ALPHA_M   numax_COR   numax_err_COR   dnu_COR   dnu_err_COR   numax_BHM   numax_err_BHM    dnu_BHM   dnu_err_BHM   numax_A2Z   numax_err_A2Z   dnu_A2Z   dnu_err_A2Z  
  141280802   2M05331632-7726301   4623992547136253312     4613.7705         107.09656     2.5983036       0.053703245      0.4124178489979105   0.012669228707412071   11.542   0.022   10.878   0.023   10.774   0.024      -0.05977555       0.10734899       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141280524   2M05314324-7717300   4623996120548786560     4663.3276         105.82271      2.759097        0.05447774     0.48060919796471335   0.010996323784763581    11.44   0.025   10.836   0.025    10.67   0.021      -0.03425555         0.080999       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141154045   2M05222208-7706563   4624063293837272064      4831.917         106.69806     3.2042923       0.058056824      0.6898196873337707   0.013439177149386502   12.004   0.023   11.471   0.025   11.334   0.021      -0.04939355         0.095239       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140857835   2M05051926-7713421   4624752825067063808      4691.617         100.30125     2.2921724       0.036680367     0.31945249601975323   0.010979076932224111   11.378   0.024   10.774   0.025   10.643   0.023      -0.26387155         0.203419       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140857867   2M05043888-7708363   4624754405615019392     4778.8945         102.12259     3.1689324       0.055918466      0.8735964976329942   0.013213389192709828   11.404   0.024    10.84   0.025     10.7   0.023       0.05783645         0.077909       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140827407   2M05011604-7708297   4624761208843196160      4860.757         112.01392     3.1479461       0.060710546      0.8728260465367054     0.0174329844942846   11.233   0.023   10.723   0.025   10.618   0.024      -0.21538155         0.120749       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140826872   2M05002611-7705522   4624764434362588800     4972.1396         98.052925     3.3068683        0.06278941      1.1465213620121248    0.01853262200347996     10.9   0.023   10.382   0.024   10.279   0.023      -0.05021155        -0.014013       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140826830   2M04593184-7658052   4624771826002332928      3961.731          67.86033     1.1812117        0.05503181     0.16514157085454004   0.017723939440736403   10.573   0.023     9.78   0.028    9.557   0.023      -0.36540154       0.24425898       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140998873   2M05135476-7641440   4624837865419901056     4568.0913          79.45916     2.3008816       0.059776597       1.142788189821056   0.024020299373178563    8.467   0.018    7.839   0.038    7.695   0.029      -0.15394154      0.046618998       23.43            0.59     2.923         0.006       23.52            0.79    2.91137     0.0643787       23.98            1.35      3.12          0.45  
  140998891   2M05140445-7637342   4624839720845771648      4626.909          83.01126     2.6604311        0.05348056      0.8368797030349998   0.019275233646758167    9.866   0.021    9.291   0.025    9.138   0.022       0.24077845    -0.0011090003       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140899345   2M05075157-7706308   4624845493281960704      4483.034          93.43467      2.124204       0.062356427      0.3324379085413001     0.0164095421479821   10.962   0.026   10.297   0.024   10.162   0.023      -0.55729157       0.22959901       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140967453   2M05085843-7652373   4624854770411311360      4832.037           84.3483     3.0899744        0.05951335       2.061548935425579   0.019462824270247255    9.167   0.022    8.663   0.025     8.51   0.023       0.11733845     0.0026939996     -9999.0         -9999.0   -9999.0       -9999.0     -9999.0         -9999.0    -9999.0       -9999.0     -9999.0         -9999.0   -9999.0       -9999.0  
  140899552   2M05071825-7649220   4624858854922973824     4854.5615           88.1351     3.2022262       0.058516506       1.154293879079636    0.02064781014091493   10.689   0.024   10.153   0.022   10.042   0.019       0.15491845     -0.017775001       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140857206   2M05031997-7649380   4624865971685985152     4851.6924         86.675446     2.4508274       0.040644653      0.9552773701275648   0.027794199445453957    9.125   0.022    8.597   0.061    8.393    0.02      -0.08397955      0.038190998       35.61            0.87     4.254         0.013       35.04            2.69    4.23875      0.091121       43.96            4.29      4.29          1.22  
  140857994   2M05045090-7646464   4624871503603868672     4522.1494         97.231575     2.3819838       0.055578474     0.27100036856733595   0.014233761292916054   11.569   0.024   10.944   0.025   10.789   0.019      -0.17402154         0.142389       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140858013   2M05044624-7643378   4624872018999940096      4686.498          80.91716     2.3756206       0.033391215      1.9154926887201706   0.021268338814204327    7.782   0.024    7.201   0.024    7.046   0.029       0.04610645      0.013142999       30.14            0.78     3.876         0.007        30.3            1.12    3.88082     0.0702835       43.96            3.84      3.84          0.36  
  140968328   2M05102943-7639344   4624882945396686720     4681.8257         104.40696     2.4156826        0.06436305      0.5020028749483205   0.020072614332138076    11.03   0.023   10.428   0.022   10.318   0.022      -0.55588156         0.160599       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140946318   2M05091679-7638318   4624883593934593408     4740.6514          83.25438     2.7209666       0.060835864       5.898725349609468     0.7905637888168483   10.237   0.024    9.677   0.025    9.534   0.023     -0.054515548    0.00034600124       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140968402   2M05110448-7629080   4624891707129913216      4311.921           79.7276     1.8636765       0.054819454      0.3417832561887354     0.0183377359245088   10.722   0.024    10.02   0.022    9.863   0.021      -0.14528155         0.126289       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140899871   2M05072449-7622522   4624895246182949504      4948.744           89.0332     2.6156828        0.04481737      1.4685513898106852     0.0241602239406202     8.02   0.018    7.526   0.038    7.414   0.031      -0.02813655        -0.004199       20.52            0.53     2.633         0.003        52.1            7.15    4.62021     0.0760545     -9999.0         -9999.0   -9999.0       -9999.0  
  140761482   2M04572717-7710187   4624927299522128256      4690.421          81.46059     2.4123135       0.033770725      0.6522122044866079    0.01971297088417093    9.978   0.025    9.407   0.025    9.228   0.022      -0.00638275         0.042374       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140761469   2M04563458-7708279   4624928094092636928     4786.9663         94.180824     3.1971433       0.053543475      0.7531445537152975   0.013502547717219105   11.472   0.023   10.956   0.025   10.791   0.022       0.29909846        -0.018254       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140686997   2M04515943-7701055   4624943826556276992     4397.6367          79.45704     1.6540587       0.065444365      0.3593395934490346   0.021386192505257057    9.613   0.024    8.923   0.026    8.806   0.022      -0.63922155         0.183149       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140664827   2M04510446-7658451   4624946923229212800     4469.6777          80.08126     1.8291333       0.064262725     0.25487446999988445    0.02132599153276353    9.547   0.026    8.867   0.025    8.687   0.021      -0.50918156       0.21717899       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
